Symbol,Market,Date,Open,High,Low,Close,Volume
VIX,INDEXCBOE,2019/04/01 15:16:00,13.9,14.01,13.32,13.4,0
VIX,INDEXCBOE,2019/04/02 15:16:00,13.62,13.68,13.13,13.36,0
VIX,INDEXCBOE,2019/04/03 15:16:00,13.06,14.27,12.85,13.74,0
VIX,INDEXCBOE,2019/04/04 15:16:00,13.84,14.03,13.4,13.58,0
VIX,INDEXCBOE,2019/04/05 15:16:00,13.46,13.47,12.17,12.82,0
VIX,INDEXCBOE,2019/04/08 15:16:00,13.55,13.77,13.1,13.18,0
VIX,INDEXCBOE,2019/04/09 15:16:00,13.46,14.39,13.31,14.28,0
VIX,INDEXCBOE,2019/04/10 15:16:00,14.09,14.29,13.27,13.3,0
VIX,INDEXCBOE,2019/04/11 15:16:00,13.37,13.58,12.91,13.02,0
VIX,INDEXCBOE,2019/04/12 15:16:00,12.96,12.96,11.95,12.01,0
VIX,INDEXCBOE,2019/04/15 15:16:00,12.46,13.14,12.24,12.32,0
VIX,INDEXCBOE,2019/04/16 15:16:00,12.26,12.47,11.85,12.18,0
VIX,INDEXCBOE,2019/04/17 15:16:00,12.12,13.02,11.03,12.6,0
VIX,INDEXCBOE,2019/04/18 15:16:00,12.8,13.12,12.02,12.09,0
VIX,INDEXCBOE,2019/04/22 15:16:00,13.21,13.36,12.38,12.42,0
VIX,INDEXCBOE,2019/04/23 15:16:00,12.66,12.69,12.08,12.28,0
VIX,INDEXCBOE,2019/04/24 15:16:00,12.53,13.23,12.26,13.14,0
VIX,INDEXCBOE,2019/04/25 15:16:00,13.29,14.3,12.81,13.25,0
VIX,INDEXCBOE,2019/04/26 15:16:00,13.44,13.62,12.49,12.73,0
VIX,INDEXCBOE,2019/04/29 15:16:00,13.04,13.27,12.65,13.11,0
VIX,INDEXCBOE,2019/04/30 15:16:00,13.11,14.05,12.88,13.12,0
VIX,INDEXCBOE,2019/05/01 15:16:00,12.86,14.83,12.74,14.8,0
VIX,INDEXCBOE,2019/05/02 15:16:00,14.35,15.92,13.8,14.42,0
VIX,INDEXCBOE,2019/05/03 15:16:00,14.11,14.15,12.8,12.87,0
VIX,INDEXCBOE,2019/05/06 15:16:00,12.89,18.8,12.89,15.44,0
VIX,INDEXCBOE,2019/05/07 15:16:00,15.9,21.84,15.8,19.32,0
VIX,INDEXCBOE,2019/05/08 15:16:00,18.95,21.74,18.29,19.4,0
VIX,INDEXCBOE,2019/05/09 15:16:00,21.4,23.38,18.87,19.1,0
VIX,INDEXCBOE,2019/05/10 15:16:00,18.79,20.19,15.57,16.04,0
VIX,INDEXCBOE,2019/05/13 15:16:00,18.62,21.32,18.35,20.55,0
VIX,INDEXCBOE,2019/05/14 15:16:00,19.4,19.65,17.45,18.06,0
VIX,INDEXCBOE,2019/05/15 15:16:00,17.57,19.15,16.41,16.44,0
VIX,INDEXCBOE,2019/05/16 15:16:00,16.69,17.13,15.16,15.29,0
VIX,INDEXCBOE,2019/05/17 15:16:00,15.89,16.81,14.86,15.96,0
VIX,INDEXCBOE,2019/05/20 15:16:00,15.88,17.63,15.46,16.31,0
VIX,INDEXCBOE,2019/05/21 15:16:00,15.86,16.22,14.79,14.95,0
VIX,INDEXCBOE,2019/05/22 15:16:00,15.06,15.44,14.42,14.75,0
VIX,INDEXCBOE,2019/05/23 15:16:00,15.93,18.05,15.28,16.92,0
VIX,INDEXCBOE,2019/05/24 15:16:00,16.34,16.52,15.52,15.85,0
VIX,INDEXCBOE,2019/05/28 15:16:00,16.55,17.7,15.9,17.5,0
VIX,INDEXCBOE,2019/05/29 15:16:00,18.55,19.04,17.62,17.9,0
VIX,INDEXCBOE,2019/05/30 15:16:00,17.47,18.11,16.72,17.3,0
VIX,INDEXCBOE,2019/05/31 15:16:00,19.05,19.72,18.01,18.71,0
VIX,INDEXCBOE,2019/06/03 15:16:00,19.33,19.75,18.16,18.86,0
VIX,INDEXCBOE,2019/06/04 15:16:00,18.74,18.74,16.97,16.97,0
VIX,INDEXCBOE,2019/06/05 15:16:00,17.06,17.49,16.04,16.09,0
VIX,INDEXCBOE,2019/06/06 15:16:00,16.25,16.54,15.36,15.93,0
VIX,INDEXCBOE,2019/06/07 15:16:00,15.65,16.44,15.33,16.3,0
VIX,INDEXCBOE,2019/06/10 15:16:00,16.3,16.47,15.84,15.94,0
VIX,INDEXCBOE,2019/06/11 15:16:00,15.84,16.7,15.5,15.99,0
VIX,INDEXCBOE,2019/06/12 15:16:00,16.26,16.43,15.78,15.91,0
VIX,INDEXCBOE,2019/06/13 15:16:00,16.16,16.21,15.61,15.82,0
VIX,INDEXCBOE,2019/06/14 15:16:00,16,16.4,15.21,15.28,0
VIX,INDEXCBOE,2019/06/17 15:16:00,15.65,15.76,15.24,15.35,0
VIX,INDEXCBOE,2019/06/18 15:16:00,15.01,15.54,14.62,15.15,0
VIX,INDEXCBOE,2019/06/19 15:16:00,15.08,15.71,14.15,14.33,0
VIX,INDEXCBOE,2019/06/20 15:16:00,13.83,16.03,13.83,14.75,0
VIX,INDEXCBOE,2019/06/21 15:16:00,14.8,15.48,14.42,15.4,0
VIX,INDEXCBOE,2019/06/24 15:16:00,15.46,15.56,15.23,15.26,0
VIX,INDEXCBOE,2019/06/25 15:16:00,15.37,16.68,15.1,16.28,0
VIX,INDEXCBOE,2019/06/26 15:16:00,15.84,16.6,15.47,16.21,0
VIX,INDEXCBOE,2019/06/27 15:16:00,16.19,16.4,16.19,15.82,0
VIX,INDEXCBOE,2019/06/28 15:16:00,15.86,16.13,15.08,15.08,0
VIX,INDEXCBOE,2019/07/01 15:16:00,13.85,14.64,13.8,14.06,0
VIX,INDEXCBOE,2019/07/02 15:16:00,14.13,14.13,12.9,12.93,0
VIX,INDEXCBOE,2019/07/03 13:00:00,13.18,13.19,12.56,12.57,0
VIX,INDEXCBOE,2019/07/05 15:16:00,13.03,14.47,12.04,13.28,0
VIX,INDEXCBOE,2019/07/08 15:16:00,13.73,14.44,13.64,13.96,0
VIX,INDEXCBOE,2019/07/09 15:16:00,14.67,14.67,13.99,14.09,0
VIX,INDEXCBOE,2019/07/10 15:16:00,14.63,14.63,12.98,13.03,0
VIX,INDEXCBOE,2019/07/11 15:16:00,12.92,13.33,12.39,12.93,0
VIX,INDEXCBOE,2019/07/12 15:16:00,12.75,12.82,12.28,12.39,0
VIX,INDEXCBOE,2019/07/15 15:16:00,12.58,13.02,12.49,12.68,0
VIX,INDEXCBOE,2019/07/16 15:16:00,12.6,13.14,12.28,12.86,0
VIX,INDEXCBOE,2019/07/17 15:16:00,12.68,13.97,12.24,13.97,0
VIX,INDEXCBOE,2019/07/18 15:16:00,14.16,14.16,13.19,13.53,0
VIX,INDEXCBOE,2019/07/19 15:16:00,13.68,14.45,13.09,14.45,0
VIX,INDEXCBOE,2019/07/22 15:16:00,14.55,14.7,13.42,13.53,0
VIX,INDEXCBOE,2019/07/23 15:16:00,13.24,13.52,12.55,12.61,0
VIX,INDEXCBOE,2019/07/24 15:16:00,12.92,12.92,11.98,12.07,0
VIX,INDEXCBOE,2019/07/25 15:16:00,12.36,13.54,11.69,12.74,0
VIX,INDEXCBOE,2019/07/26 15:16:00,12.55,12.72,12.01,12.16,0
VIX,INDEXCBOE,2019/07/29 15:16:00,12.15,13.17,12.15,12.83,0
VIX,INDEXCBOE,2019/07/30 15:16:00,13.46,14.18,13.46,13.94,0
VIX,INDEXCBOE,2019/07/31 15:16:00,13.88,16.55,13.46,16.12,0
VIX,INDEXCBOE,2019/08/01 15:16:00,15.02,19.46,13.73,17.87,0
VIX,INDEXCBOE,2019/08/02 15:16:00,17.9,20.11,17.04,17.61,0
VIX,INDEXCBOE,2019/08/05 15:16:00,19.96,24.81,19.91,24.59,0
VIX,INDEXCBOE,2019/08/06 15:16:00,21.92,22.87,19.77,20.17,0
VIX,INDEXCBOE,2019/08/07 15:16:00,19.88,23.67,18.94,19.49,0
VIX,INDEXCBOE,2019/08/08 15:16:00,19.52,19.52,16.82,16.91,0
VIX,INDEXCBOE,2019/08/09 15:16:00,18.53,19.44,17.31,17.97,0
VIX,INDEXCBOE,2019/08/12 15:16:00,17.87,21.26,17.77,21.09,0
VIX,INDEXCBOE,2019/08/13 15:16:00,21.11,21.11,17.52,17.52,0
VIX,INDEXCBOE,2019/08/14 15:16:00,19.35,22.71,19.35,22.1,0
VIX,INDEXCBOE,2019/08/15 15:16:00,22.94,22.94,22.94,21.18,0
VIX,INDEXCBOE,2019/08/16 15:16:00,19.83,19.83,18.41,18.47,0
