Symbol,Market,Date,Open,High,Low,Close,Volume
GRIL,NASDAQ,2020/02/13 16:00:00,4.7,4.7,3.67,3.86,266516
GRIL,NASDAQ,2020/02/14 16:00:00,3.82,4.22,3.82,3.95,43128
GRIL,NASDAQ,2020/02/18 16:00:00,3.98,4.13,3.95,4.06,34337
GRIL,NASDAQ,2020/02/19 16:00:00,4.1,4.12,3.58,3.66,63339
GRIL,NASDAQ,2020/02/20 16:00:00,3.67,3.88,3.11,3.69,66206
GRIL,NASDAQ,2020/02/21 16:00:00,3.78,3.86,3.38,3.7,43985
GRIL,NASDAQ,2020/02/24 16:00:00,3.69,3.83,3.35,3.65,25684
GRIL,NASDAQ,2020/02/25 16:00:00,3.67,4.47,3.65,3.86,47479
GRIL,NASDAQ,2020/02/26 16:00:00,3.89,3.96,3.41,3.7,35013
GRIL,NASDAQ,2020/02/27 16:00:00,4,4.4,3.74,4.33,156233
GRIL,NASDAQ,2020/02/28 16:00:00,4.44,4.44,3.8,4.08,56646
GRIL,NASDAQ,2020/03/02 16:00:00,3.8,3.82,2.84,3.08,135958
GRIL,NASDAQ,2020/03/03 16:00:00,3.05,3.69,3.05,3.39,68045
GRIL,NASDAQ,2020/03/04 16:00:00,3.55,3.84,3.4,3.5,37223
GRIL,NASDAQ,2020/03/05 16:00:00,3.6,3.6,3.29,3.37,8766
GRIL,NASDAQ,2020/03/06 16:00:00,3.31,3.43,3.1,3.24,22426
GRIL,NASDAQ,2020/03/09 16:00:00,3.07,3.08,2.75,2.81,17810
GRIL,NASDAQ,2020/03/10 16:00:00,2.96,3.06,2.9,3.05,13289
GRIL,NASDAQ,2020/03/11 16:00:00,3.19,3.2,2.82,2.89,7336
GRIL,NASDAQ,2020/03/12 16:00:00,2.48,2.75,2.07,2.45,11957
GRIL,NASDAQ,2020/03/13 16:00:00,2.52,2.72,1.92,2.19,35720
GRIL,NASDAQ,2020/03/16 16:00:00,1.88,2.74,1.88,2.38,42221
GRIL,NASDAQ,2020/03/17 16:00:00,2.32,3.97,2.32,3.35,1261530
GRIL,NASDAQ,2020/03/18 16:00:00,3.58,5.09,3.2,3.6,3178846
GRIL,NASDAQ,2020/03/19 16:00:00,4.15,4.75,2.56,2.76,1419994
GRIL,NASDAQ,2020/03/20 16:00:00,2.49,2.69,2,2.3,312976
GRIL,NASDAQ,2020/03/23 16:00:00,2.2,2.3,1.73,2.05,253709
GRIL,NASDAQ,2020/03/24 16:00:00,2.09,2.4,1.91,1.94,150024
GRIL,NASDAQ,2020/03/25 16:00:00,1.9,2.05,1.7,1.95,168691
GRIL,NASDAQ,2020/03/26 16:00:00,1.88,2.34,1.65,2.25,221178
GRIL,NASDAQ,2020/03/27 16:00:00,2.2,2.2,1.8,1.95,108677
GRIL,NASDAQ,2020/03/30 16:00:00,2.09,2.2,1.85,1.9,138852
GRIL,NASDAQ,2020/03/31 16:00:00,1.88,1.97,1.62,1.66,86589
GRIL,NASDAQ,2020/04/01 16:00:00,1.62,1.9,1.6,1.7,144113
GRIL,NASDAQ,2020/04/02 16:00:00,1.74,1.74,1.58,1.65,60725
GRIL,NASDAQ,2020/04/03 16:00:00,1.52,1.74,1.42,1.57,44770
GRIL,NASDAQ,2020/04/06 16:00:00,1.64,1.75,1.48,1.74,33812
GRIL,NASDAQ,2020/04/07 16:00:00,1.82,1.89,1.62,1.73,38252
GRIL,NASDAQ,2020/04/08 16:00:00,1.66,1.76,1.66,1.7,20814
GRIL,NASDAQ,2020/04/09 16:00:00,1.61,1.68,1.42,1.65,82228
GRIL,NASDAQ,2020/04/13 16:00:00,1.68,1.69,1.53,1.68,12497
GRIL,NASDAQ,2020/04/14 16:00:00,1.67,1.75,1.55,1.74,21667
GRIL,NASDAQ,2020/04/15 16:00:00,1.96,3,1.87,2.02,4098121
GRIL,NASDAQ,2020/04/16 16:00:00,1.92,2.16,1.74,1.93,335799
GRIL,NASDAQ,2020/04/17 16:00:00,1.96,2.08,1.75,1.82,90522
GRIL,NASDAQ,2020/04/20 16:00:00,1.76,2.04,1.66,1.87,133774
GRIL,NASDAQ,2020/04/21 16:00:00,1.85,1.88,1.75,1.83,41763
GRIL,NASDAQ,2020/04/22 16:00:00,1.8,1.97,1.77,1.81,27339
GRIL,NASDAQ,2020/04/23 16:00:00,1.8,1.83,1.71,1.82,41386
GRIL,NASDAQ,2020/04/24 16:00:00,1.75,1.85,1.68,1.79,11801
GRIL,NASDAQ,2020/04/27 16:00:00,1.77,1.79,1.66,1.73,50573
GRIL,NASDAQ,2020/04/28 16:00:00,1.74,1.75,1.67,1.75,47201
GRIL,NASDAQ,2020/04/29 16:00:00,1.71,1.84,1.65,1.8,85928
GRIL,NASDAQ,2020/04/30 16:00:00,1.83,1.99,1.73,1.92,111624
GRIL,NASDAQ,2020/05/01 16:00:00,1.92,2.15,1.7,1.76,207819
GRIL,NASDAQ,2020/05/04 16:00:00,1.8,1.87,1.64,1.87,62667
GRIL,NASDAQ,2020/05/05 16:00:00,1.86,1.9,1.75,1.76,30146
GRIL,NASDAQ,2020/05/06 16:00:00,1.88,1.88,1.65,1.74,35065
GRIL,NASDAQ,2020/05/07 16:00:00,1.83,1.91,1.68,1.8,179570
GRIL,NASDAQ,2020/05/08 16:00:00,1.84,1.98,1.76,1.86,192271
GRIL,NASDAQ,2020/05/11 16:00:00,1.86,1.9,1.74,1.78,114079
GRIL,NASDAQ,2020/05/12 16:00:00,1.8,2.04,1.73,1.88,315507
GRIL,NASDAQ,2020/05/13 16:00:00,1.88,1.9,1.75,1.83,100070
GRIL,NASDAQ,2020/05/14 16:00:00,1.77,1.82,1.7,1.76,60735
