Symbol,Market,Date,Open,High,Low,Close,Volume
VDE,NYSEARCA,2019/04/01 16:00:00,89.99,90.76,89.94,90.63,235682
VDE,NYSEARCA,2019/04/02 16:00:00,90.79,90.91,89.78,89.96,274604
VDE,NYSEARCA,2019/04/03 16:00:00,90.32,90.39,88.74,89,204960
VDE,NYSEARCA,2019/04/04 16:00:00,89.05,89.85,88.65,89.82,213006
VDE,NYSEARCA,2019/04/05 16:00:00,90.09,91.53,90,91.48,260950
VDE,NYSEARCA,2019/04/08 16:00:00,91.57,92.34,91.48,91.85,286034
VDE,NYSEARCA,2019/04/09 16:00:00,91.57,91.57,90.46,90.67,169513
VDE,NYSEARCA,2019/04/10 16:00:00,90.91,91.45,90.86,91.08,98245
VDE,NYSEARCA,2019/04/11 16:00:00,91,91.75,90.41,91.05,185777
VDE,NYSEARCA,2019/04/12 16:00:00,92.3,92.4,91.21,91.42,185731
VDE,NYSEARCA,2019/04/15 16:00:00,91.33,91.51,90.67,90.84,653621
VDE,NYSEARCA,2019/04/16 16:00:00,91.05,91.53,90.79,91.38,134806
VDE,NYSEARCA,2019/04/17 16:00:00,91.88,92.12,91.15,91.3,220379
VDE,NYSEARCA,2019/04/18 16:00:00,91.64,91.69,90.63,90.79,148114
VDE,NYSEARCA,2019/04/22 16:00:00,91.67,92.91,91.52,92.84,292712
VDE,NYSEARCA,2019/04/23 16:00:00,93,93.17,92.2,92.88,302791
VDE,NYSEARCA,2019/04/24 16:00:00,92.96,92.96,91.06,91.14,145235
VDE,NYSEARCA,2019/04/25 16:00:00,91.15,91.43,90.55,90.69,201123
VDE,NYSEARCA,2019/04/26 16:00:00,90,90,88.68,89.62,381437
VDE,NYSEARCA,2019/04/29 16:00:00,89.53,89.87,89.23,89.45,220161
VDE,NYSEARCA,2019/04/30 16:00:00,90.14,90.5,89.03,89.21,127258
VDE,NYSEARCA,2019/05/01 16:00:00,89.18,89.31,87.25,87.27,207477
VDE,NYSEARCA,2019/05/02 16:00:00,86.75,87.15,85.71,85.78,408283
VDE,NYSEARCA,2019/05/03 16:00:00,86.43,87.27,86.43,86.55,278233
VDE,NYSEARCA,2019/05/06 16:00:00,85.78,87.01,85.78,86.63,385638
VDE,NYSEARCA,2019/05/07 16:00:00,85.76,86.04,84.88,86.04,324801
VDE,NYSEARCA,2019/05/08 16:00:00,85.99,86.68,85.8,85.97,332520
VDE,NYSEARCA,2019/05/09 16:00:00,85.61,86.2,84.72,85.89,337955
VDE,NYSEARCA,2019/05/10 16:00:00,85.86,86.58,84.73,86.39,136025
VDE,NYSEARCA,2019/05/13 16:00:00,85.65,85.91,84.32,84.73,330664
VDE,NYSEARCA,2019/05/14 16:00:00,85.19,86.58,85.19,85.9,148279
VDE,NYSEARCA,2019/05/15 16:00:00,85.38,86.58,85.14,86.4,300814
VDE,NYSEARCA,2019/05/16 16:00:00,86.74,87.23,86.74,86.95,269415
VDE,NYSEARCA,2019/05/17 16:00:00,86.42,86.72,85.81,85.91,115366
VDE,NYSEARCA,2019/05/20 16:00:00,85.8,86.24,85.62,85.86,117293
VDE,NYSEARCA,2019/05/21 16:00:00,86.16,87,86.07,86.87,146819
VDE,NYSEARCA,2019/05/22 16:00:00,86.31,86.56,85.02,85.21,160685
VDE,NYSEARCA,2019/05/23 16:00:00,84,84.11,81.81,82.35,455474
VDE,NYSEARCA,2019/05/24 16:00:00,83,83.07,81.86,82.49,247620
VDE,NYSEARCA,2019/05/28 16:00:00,82.67,82.67,81.54,81.6,258002
VDE,NYSEARCA,2019/05/29 16:00:00,80.5,81.3,80.05,81.16,423364
VDE,NYSEARCA,2019/05/30 16:00:00,81.12,81.19,79.92,80.11,277443
VDE,NYSEARCA,2019/05/31 16:00:00,78.99,79.73,78.71,78.77,596015
VDE,NYSEARCA,2019/06/03 16:00:00,79.24,80.09,79.18,79.87,387421
VDE,NYSEARCA,2019/06/04 16:00:00,80.49,81.38,80.34,81.31,281898
VDE,NYSEARCA,2019/06/05 16:00:00,81.28,81.41,79.66,80.19,297503
VDE,NYSEARCA,2019/06/06 16:00:00,80.44,81.75,80.44,81.49,256011
VDE,NYSEARCA,2019/06/07 16:00:00,81.6,82.36,81.49,81.82,234040
VDE,NYSEARCA,2019/06/10 16:00:00,82.09,82.84,81.92,81.99,264847
VDE,NYSEARCA,2019/06/11 16:00:00,82.75,83,82.12,82.12,300699
VDE,NYSEARCA,2019/06/12 16:00:00,81.62,81.62,80.54,80.78,250004
VDE,NYSEARCA,2019/06/13 16:00:00,81.66,82.05,81.52,81.82,269886
VDE,NYSEARCA,2019/06/14 16:00:00,82.02,82.02,80.96,81.16,109089
VDE,NYSEARCA,2019/06/17 16:00:00,80.93,82.07,80.78,81.88,354633
VDE,NYSEARCA,2019/06/18 16:00:00,82.54,83.63,82.5,83.08,156644
VDE,NYSEARCA,2019/06/19 16:00:00,82.95,83.5,82.58,82.92,150481
VDE,NYSEARCA,2019/06/20 16:00:00,84.15,85.06,84,84.82,235829
VDE,NYSEARCA,2019/06/21 16:00:00,84.28,85,84.28,84.82,231452
VDE,NYSEARCA,2019/06/24 16:00:00,84.72,84.93,83.82,83.9,257106
VDE,NYSEARCA,2019/06/25 16:00:00,83.87,83.87,83.16,83.27,171886
VDE,NYSEARCA,2019/06/26 16:00:00,84.2,85.24,83.97,84.59,248032
VDE,NYSEARCA,2019/06/27 16:00:00,84.66,84.8,83.83,83.98,136931
VDE,NYSEARCA,2019/06/28 16:00:00,84.17,85.11,84.17,85.02,175736
VDE,NYSEARCA,2019/07/01 16:00:00,86.04,86.49,84.97,85.17,192091
VDE,NYSEARCA,2019/07/02 16:00:00,84.97,85.01,83.32,83.64,177019
VDE,NYSEARCA,2019/07/03 13:00:00,83.82,84.08,83.33,84.08,134268
VDE,NYSEARCA,2019/07/05 16:00:00,83.71,84.25,83.41,84.25,214290
VDE,NYSEARCA,2019/07/08 16:00:00,84.04,84.78,83.84,84.16,192029
VDE,NYSEARCA,2019/07/09 16:00:00,84.09,84.3,83.5,84.3,290090
VDE,NYSEARCA,2019/07/10 16:00:00,84.89,85.68,84.8,85.56,169382
VDE,NYSEARCA,2019/07/11 16:00:00,85.7,85.77,85.06,85.5,157184
VDE,NYSEARCA,2019/07/12 16:00:00,85.58,86.11,85.58,85.82,125298
VDE,NYSEARCA,2019/07/15 16:00:00,85.94,85.94,84.75,84.95,171390
