Symbol,Market,Date,Open,High,Low,Close,Volume
HNRG,NASDAQ,2021/04/12 16:00:00,2.06,2.1,1.98,2,222919
HNRG,NASDAQ,2021/04/13 16:00:00,1.83,2.01,1.8,1.99,418386
HNRG,NASDAQ,2021/04/14 16:00:00,2,2.11,1.97,2.09,230366
HNRG,NASDAQ,2021/04/15 16:00:00,2.1,2.1,1.96,2.02,121587
HNRG,NASDAQ,2021/04/16 16:00:00,2.01,2.1,1.93,2.07,253039
HNRG,NASDAQ,2021/04/19 16:00:00,2.03,2.08,2,2.04,320105
HNRG,NASDAQ,2021/04/20 16:00:00,2.07,2.08,1.9,1.96,228317
HNRG,NASDAQ,2021/04/21 16:00:00,1.93,1.95,1.85,1.95,125263
HNRG,NASDAQ,2021/04/22 16:00:00,1.85,1.95,1.85,1.91,254087
ACHV,NASDAQ,2021/04/12 16:00:00,11.34,11.44,10.76,11.08,39273
ACHV,NASDAQ,2021/04/13 16:00:00,11.09,11.28,10.63,10.72,75263
ACHV,NASDAQ,2021/04/14 16:00:00,10.83,11.37,10.29,10.49,111902
ACHV,NASDAQ,2021/04/15 16:00:00,10.09,10.63,10.05,10.23,61415
ACHV,NASDAQ,2021/04/16 16:00:00,10.35,10.49,9.64,9.93,134929
ACHV,NASDAQ,2021/04/19 16:00:00,9.79,10.34,9.51,10.09,103798
ACHV,NASDAQ,2021/04/20 16:00:00,10.1,10.3,9.39,9.7,47409
ACHV,NASDAQ,2021/04/21 16:00:00,9.67,10.36,9.47,10.15,44284
ACHV,NASDAQ,2021/04/22 16:00:00,10.15,11.23,10.15,10.83,104453
KSPN,NASDAQ,2021/04/12 16:00:00,24.76,24.76,23.8,23.98,8087
KSPN,NASDAQ,2021/04/13 16:00:00,23.91,23.91,21.61,22.25,22621
KSPN,NASDAQ,2021/04/14 16:00:00,22.25,22.96,22.25,22.53,12029
KSPN,NASDAQ,2021/04/15 16:00:00,23.51,26.91,22.76,26.91,60755
KSPN,NASDAQ,2021/04/16 16:00:00,26.65,26.65,23.9,24.02,32660
KSPN,NASDAQ,2021/04/19 16:00:00,23.9,25.99,23.4,24.33,23646
KSPN,NASDAQ,2021/04/20 16:00:00,24.41,24.99,22.15,24.35,35181
KSPN,NASDAQ,2021/04/21 16:00:00,24.25,24.25,22.74,23.73,16866
KSPN,NASDAQ,2021/04/22 16:00:00,23.77,24.73,23.35,24.25,35599
KFFB,NASDAQ,2021/04/13 16:00:00,6.95,7.08,6.88,6.9,9152
KFFB,NASDAQ,2021/04/14 16:00:00,7,7.13,6.99,7.13,3062
KFFB,NASDAQ,2021/04/15 16:00:00,7.1,7.24,7.1,7.21,3262
KFFB,NASDAQ,2021/04/16 16:00:00,7.04,7.2,6.96,7.2,9960
KFFB,NASDAQ,2021/04/19 16:00:00,6.93,6.98,6.93,6.98,798
KFFB,NASDAQ,2021/04/20 16:00:00,7.11,7.14,7.11,7.14,2876
KFFB,NASDAQ,2021/04/21 16:00:00,7.15,7.2,7.11,7.11,843
KFFB,NASDAQ,2021/04/22 16:00:00,7.12,7.12,7.12,7.12,386
RSSS,NASDAQ,2021/04/12 16:00:00,2.43,2.45,2.38,2.45,37497
RSSS,NASDAQ,2021/04/13 16:00:00,2.35,2.45,2.35,2.43,25817
RSSS,NASDAQ,2021/04/14 16:00:00,2.42,2.44,2.4,2.4,18704
RSSS,NASDAQ,2021/04/15 16:00:00,2.4,2.44,2.34,2.37,28152
RSSS,NASDAQ,2021/04/16 16:00:00,2.35,2.41,2.34,2.37,27192
RSSS,NASDAQ,2021/04/19 16:00:00,2.39,2.39,2.3,2.3,20417
RSSS,NASDAQ,2021/04/20 16:00:00,2.31,2.33,2.23,2.24,67817
RSSS,NASDAQ,2021/04/21 16:00:00,2.26,2.28,2.24,2.24,10394
RSSS,NASDAQ,2021/04/22 16:00:00,2.24,2.29,2.24,2.29,7383
MAYS,NASDAQ,2021/04/13 16:00:00,27,27,27,27,200
MAYS,NASDAQ,2021/04/22 16:00:00,27,27,27,27,2314
LIFE,NASDAQ,2021/04/12 16:00:00,4.46,4.46,4.01,4.01,842742
LIFE,NASDAQ,2021/04/13 16:00:00,4,4,3.7,3.74,625306
LIFE,NASDAQ,2021/04/14 16:00:00,3.79,4.14,3.75,3.98,691247
LIFE,NASDAQ,2021/04/15 16:00:00,3.94,3.97,3.7,3.7,446872
LIFE,NASDAQ,2021/04/16 16:00:00,3.7,3.85,3.55,3.77,527751
LIFE,NASDAQ,2021/04/19 16:00:00,3.78,3.87,3.7,3.76,309593
LIFE,NASDAQ,2021/04/20 16:00:00,3.76,3.76,3.59,3.66,221763
LIFE,NASDAQ,2021/04/21 16:00:00,3.67,3.87,3.62,3.81,301192
LIFE,NASDAQ,2021/04/22 16:00:00,3.82,4.04,3.77,4.02,259040
FSEA,NASDAQ,2021/04/12 16:00:00,9.95,9.95,9.5,9.5,1452
FSEA,NASDAQ,2021/04/13 16:00:00,9.53,9.9,9.01,9.01,896
FSEA,NASDAQ,2021/04/14 16:00:00,9.67,9.88,9.67,9.84,4966
FSEA,NASDAQ,2021/04/15 16:00:00,9.72,9.72,9.31,9.34,6328
FSEA,NASDAQ,2021/04/16 16:00:00,9.52,9.87,9.35,9.8,2455
FSEA,NASDAQ,2021/04/19 16:00:00,9.91,9.91,9.35,9.69,2160
FSEA,NASDAQ,2021/04/20 16:00:00,9.68,9.69,9.55,9.69,2468
FSEA,NASDAQ,2021/04/21 16:00:00,9.64,9.77,9.64,9.67,494
FSEA,NASDAQ,2021/04/22 16:00:00,9.7,9.91,9.7,9.91,2236
DGLY,NASDAQ,2021/04/12 16:00:00,1.77,2.05,1.69,2.03,19404047
DGLY,NASDAQ,2021/04/13 16:00:00,1.91,1.94,1.77,1.77,6547778
DGLY,NASDAQ,2021/04/14 16:00:00,1.75,1.8,1.72,1.74,2241058
DGLY,NASDAQ,2021/04/15 16:00:00,1.72,1.76,1.66,1.69,2406820
DGLY,NASDAQ,2021/04/16 16:00:00,1.71,1.72,1.65,1.66,1875999
DGLY,NASDAQ,2021/04/19 16:00:00,1.68,1.89,1.67,1.8,12734468
DGLY,NASDAQ,2021/04/20 16:00:00,1.8,1.94,1.75,1.94,24333598
DGLY,NASDAQ,2021/04/21 16:00:00,1.66,1.74,1.63,1.71,6792618
DGLY,NASDAQ,2021/04/22 16:00:00,1.73,1.77,1.68,1.7,3414157
BBIG,NASDAQ,2021/04/12 16:00:00,2.65,2.8,2.51,2.57,1323430
BBIG,NASDAQ,2021/04/13 16:00:00,2.5,2.53,2.25,2.34,1697881
BBIG,NASDAQ,2021/04/14 16:00:00,2.28,2.34,2.17,2.2,1120634
BBIG,NASDAQ,2021/04/15 16:00:00,2.19,2.23,2.11,2.16,619549
BBIG,NASDAQ,2021/04/16 16:00:00,2.12,2.14,1.95,2.1,937378
BBIG,NASDAQ,2021/04/19 16:00:00,2.02,2.1,2,2.03,388377
BBIG,NASDAQ,2021/04/20 16:00:00,2.26,2.26,2.04,2.12,559132
BBIG,NASDAQ,2021/04/21 16:00:00,2.32,2.57,2.11,2.22,26645625
BBIG,NASDAQ,2021/04/22 16:00:00,2.16,2.52,2.14,2.49,8713418
SRTS,NASDAQ,2021/04/12 16:00:00,3.92,3.92,3.56,3.63,41803
SRTS,NASDAQ,2021/04/13 16:00:00,3.7,3.78,3.5,3.53,72093
SRTS,NASDAQ,2021/04/14 16:00:00,3.55,3.94,3.55,3.6,54350
SRTS,NASDAQ,2021/04/15 16:00:00,3.69,3.69,3.35,3.38,43959
SRTS,NASDAQ,2021/04/16 16:00:00,3.38,3.73,3.28,3.66,67471
SRTS,NASDAQ,2021/04/19 16:00:00,3.56,3.69,3.37,3.4,45564
SRTS,NASDAQ,2021/04/20 16:00:00,3.4,3.65,3.4,3.52,22183
SRTS,NASDAQ,2021/04/21 16:00:00,3.6,3.61,3.5,3.55,23908
SRTS,NASDAQ,2021/04/22 16:00:00,3.59,3.71,3.54,3.62,33805
REED,NASDAQ,2021/04/12 16:00:00,1.19,1.2,1.13,1.14,390983
REED,NASDAQ,2021/04/13 16:00:00,1.13,1.15,1.08,1.1,532907
REED,NASDAQ,2021/04/14 16:00:00,1.08,1.12,1.05,1.08,496760
REED,NASDAQ,2021/04/15 16:00:00,1.08,1.09,0.96,0.98,1372535
REED,NASDAQ,2021/04/16 16:00:00,0.96,0.98,0.95,0.97,550845
REED,NASDAQ,2021/04/19 16:00:00,0.95,0.97,0.91,0.94,427865
REED,NASDAQ,2021/04/20 16:00:00,0.94,0.94,0.88,0.92,546115
REED,NASDAQ,2021/04/21 16:00:00,0.91,0.96,0.91,0.94,309754
REED,NASDAQ,2021/04/22 16:00:00,0.96,0.98,0.94,0.94,225704
SSKN,NASDAQ,2021/04/12 16:00:00,1.62,1.66,1.61,1.66,101537
SSKN,NASDAQ,2021/04/13 16:00:00,1.64,1.71,1.62,1.69,218515
SSKN,NASDAQ,2021/04/14 16:00:00,1.71,1.72,1.67,1.71,199081
SSKN,NASDAQ,2021/04/15 16:00:00,1.72,1.75,1.7,1.75,408396
SSKN,NASDAQ,2021/04/16 16:00:00,1.72,1.74,1.67,1.72,788646
SSKN,NASDAQ,2021/04/19 16:00:00,1.72,1.73,1.67,1.72,214784
SSKN,NASDAQ,2021/04/20 16:00:00,1.7,1.72,1.68,1.71,219432
SSKN,NASDAQ,2021/04/21 16:00:00,1.68,1.8,1.67,1.76,227588
SSKN,NASDAQ,2021/04/22 16:00:00,1.77,1.8,1.74,1.74,54230
NCSM,NASDAQ,2021/04/12 16:00:00,27.6,30.51,26.2,28.68,36013
NCSM,NASDAQ,2021/04/13 16:00:00,27.65,29.2,26.06,26.78,12628
NCSM,NASDAQ,2021/04/14 16:00:00,26.06,26.88,24.62,24.62,19320
NCSM,NASDAQ,2021/04/15 16:00:00,25.01,25.75,24.33,25.28,8722
NCSM,NASDAQ,2021/04/16 16:00:00,25.5,25.5,24.54,24.54,1880
NCSM,NASDAQ,2021/04/19 16:00:00,24.29,25.2,22.63,24.02,9351
NCSM,NASDAQ,2021/04/20 16:00:00,24.49,24.49,22.9,24.29,5207
NCSM,NASDAQ,2021/04/21 16:00:00,23.78,23.78,23.58,23.61,1654
NCSM,NASDAQ,2021/04/22 16:00:00,23.76,24.21,23.56,24,3708
SYPR,NASDAQ,2021/04/12 16:00:00,3.21,3.21,2.86,2.87,312826
SYPR,NASDAQ,2021/04/13 16:00:00,2.83,2.95,2.76,2.94,180284
SYPR,NASDAQ,2021/04/14 16:00:00,2.97,3.08,2.89,2.89,89085
SYPR,NASDAQ,2021/04/15 16:00:00,2.95,2.95,2.7,2.77,160113
SYPR,NASDAQ,2021/04/16 16:00:00,2.8,2.83,2.64,2.81,154150
SYPR,NASDAQ,2021/04/19 16:00:00,2.88,2.88,2.67,2.86,125861
SYPR,NASDAQ,2021/04/20 16:00:00,2.78,2.86,2.57,2.69,126129
SYPR,NASDAQ,2021/04/21 16:00:00,2.54,2.76,2.54,2.69,89402
SYPR,NASDAQ,2021/04/22 16:00:00,2.75,2.87,2.63,2.81,2172985
TOMZ,NASDAQ,2021/04/12 16:00:00,3.83,4,3.74,3.95,97421
TOMZ,NASDAQ,2021/04/13 16:00:00,3.94,3.95,3.79,3.88,61936
TOMZ,NASDAQ,2021/04/14 16:00:00,3.91,3.99,3.81,3.87,35199
TOMZ,NASDAQ,2021/04/15 16:00:00,3.85,3.91,3.55,3.62,94793
TOMZ,NASDAQ,2021/04/16 16:00:00,3.61,3.65,3.42,3.53,107209
TOMZ,NASDAQ,2021/04/19 16:00:00,3.59,3.79,3.55,3.65,50232
TOMZ,NASDAQ,2021/04/20 16:00:00,3.62,3.72,3.2,3.42,112759
TOMZ,NASDAQ,2021/04/21 16:00:00,3.35,3.65,3.35,3.53,65296
TOMZ,NASDAQ,2021/04/22 16:00:00,3.55,3.64,3.45,3.51,35754
BYFC,NASDAQ,2021/04/12 16:00:00,2.31,2.31,2.18,2.21,134107
